Model,MAE,MSE,R2
LinearRegression,82657.94605892201,10549721686.159277,0.914645450513807
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
RobustRegression,199465.55955429326,61664910393.24947,0.5010881990728178
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
ElasticNet,99126.80843102593,15081376466.559597,0.8779812271613101
PolynomialRegression,84102.44535966679,10870915576.460762,0.9120467696556789
SGDRegressor,1.50441657122336e+18,2.3275758180123706e+36,-1.8831699190894063e+25
ANN,199389.60044560107,61491356491.141045,0.5024923702506671
RandomForest,98783.01269647798,15265385207.318146,0.8764924691034011
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
